epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1094.62,3.78162,4.87228,4.52227,1.19479,0.00776,0.13675,0.00487,0.00163,0.01782,0.13852,0.01072,0.0049,4.0897,5.10019,3.68112,1.02222,0.00054889,0.00054889,0.00054889
2,2176.1,3.76817,4.37927,3.19426,1.05639,0.17535,0.10259,0.06163,0.02421,0.20132,0.09501,0.07219,0.02788,3.88453,5.36299,3.03382,1.07915,0.000995206,0.000995206,0.000995206
3,3264.07,3.76461,4.2365,2.96987,1.03974,0.21736,0.10384,0.06508,0.02603,0.21496,0.12705,0.07557,0.03232,3.96288,4.9898,2.76517,1.02803,0.0013315,0.0013315,0.0013315
4,4344.55,3.65903,4.08647,2.80025,1.01264,0.25559,0.12669,0.07159,0.0276,0.19946,0.11445,0.08936,0.03905,3.87245,5.45451,2.64299,0.98398,0.0011719,0.0011719,0.0011719
5,5419.23,3.61063,3.97883,2.67408,1.00927,0.2767,0.13624,0.11759,0.04847,0.26541,0.14574,0.12029,0.05055,3.84899,4.99434,2.63858,0.97433,0.00100687,0.00100687,0.00100687
6,6488.46,3.571,3.9427,2.53301,1.00682,0.32322,0.13919,0.12178,0.04903,0.36317,0.11053,0.13429,0.05736,3.79433,4.84778,2.48023,0.96142,0.000841835,0.000841835,0.000841835
7,7551.35,3.53638,3.87478,2.45308,1.00208,0.31686,0.14996,0.11823,0.0504,0.27518,0.13393,0.12562,0.0564,3.73076,5.01612,2.43016,0.97371,0.000676802,0.000676802,0.000676802
8,8615.11,3.46264,3.75076,2.35816,0.98605,0.29366,0.15656,0.13221,0.06306,0.27348,0.13979,0.13965,0.06191,3.72807,5.05417,2.39565,0.96451,0.000511769,0.000511769,0.000511769
9,9702.56,3.41938,3.6904,2.305,0.97656,0.30289,0.16823,0.13799,0.06395,0.32801,0.14723,0.1509,0.06072,3.67295,5.17536,2.31529,0.96632,0.000346736,0.000346736,0.000346736
10,10782.8,3.3631,3.66764,2.28997,0.97467,0.33358,0.18501,0.15393,0.06709,0.2877,0.17787,0.1544,0.06612,3.63616,4.86959,2.27346,0.96272,0.000181703,0.000181703,0.000181703
